"Редактирование любых моделей, созданных в СУМ и в СУРМ",+/+,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУМ",+/-,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУРМ",-/+,,,,,,,,,,,,,,,,,,,,
Редактирование недоступно,-/-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Название атрибута в СУРМ,Источник СУМ,"Бизнес-заказчик (Владелец модели)  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель Вадилации, Валидатор для моделей, созданных в СУМ/созданных в СУРМ","Руководитель DE, DE  для моделей, созданных в СУМ/созданных в СУРМ","DS_Lead для моделей, созданных в СУМ/созданных в СУРМ","DS  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель ModelOps,  ModelOps для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  стрима для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  (штабная) для моделей, созданных в СУМ/созданных в СУРМ",Доступен ли для редактирования в СУРМ,Реализованный алгоритм синхронизации,Целевой алгоритм синхронизации,,,,,,,,,
Степень регуляторного надзора,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Уровень материальности,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Охват последствий,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Кем определен уровень значимости Модели / РС,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Классификация РС по порядку применения в рамках ПВР,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Компонент кредитного риска,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Метод расчета параметра Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Целевой сегмент Модели / Алгоритма,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Сегмент применения Модели / Рейтинговой системы / Алгоритма,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Регуляторный класс,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Регуляторный подкласс кредитных требований,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Для каких целей происходит использование результатов работы РС,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата создания модели,+,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Синхронизации нет,Из СУМ в СУРМ,,,,,,,,,
Решение об утверждении РС / Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата утверждения РС / Модели / Алгоритма,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Банковский документ,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата выведения РС / Модели из эксплуатации,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Реквизиты решения о выведении из эксплуатации,+,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ. 
Для моделей, созданных в СУРМ, синхронизации нет","Синхронизации нет: в СУМ будет атрибут ""Ссылка на артефакты снятия модели с обновления и вывод из ПИМ"", в СУРМ останется атрибут ""Реквизиты решения о выведении из эксплуатации""",,,,,,,,,
Дата выведения Модели из ПИМ,+,-/-,-/-,-/-,+/-,+/-,+/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ. 
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Исполнитель,+,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,"Значение синхронизируется из СУМ в СУРМ. В поле Исполнитель синхронизируется ФИО пользователя,закрывшего задачу ""Согласование результатов разработки"" этап ""Разработка модели""",Из СУМ в СУРМ,,,,,,,,,
Дата начала разработки Модели,+,-/+,-/+,-/-,+/-,+/-,-/-,-/-,-/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ. 
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
